CustomerKey;FirstName;MiddleName;LastName;Full_Name;MaritalStatus;Gender;DateFirstPurchase;Customer city
11000;Jon;V;Yang;Jon Yang;M;Male;2021-01-19;Rockhampton
11001;Eugene;L;Huang;Eugene Huang;S;Male;2021-01-15;Seaford
11002;Ruben;NULL;Torres;Ruben Torres;M;Male;2021-01-07;Hobart
11003;Christy;NULL;Zhu;Christy Zhu;S;Female;2020-12-29;North Ryde
11004;Elizabeth;NULL;Johnson;Elizabeth Johnson;S;Female;2021-01-23;Wollongong
11005;Julio;NULL;Ruiz;Julio Ruiz;S;Male;2020-12-30;East Brisbane
11006;Janet;G;Alvarez;Janet Alvarez;S;Female;2021-01-24;Matraville
11007;Marco;NULL;Mehta;Marco Mehta;M;Male;2021-01-09;Warrnambool
11008;Rob;NULL;Verhoff;Rob Verhoff;S;Female;2021-01-25;Bendigo
11009;Shannon;C;Carlson;Shannon Carlson;S;Male;2021-01-27;Hervey Bay
11010;Jacquelyn;C;Suarez;Jacquelyn Suarez;S;Female;2021-01-14;East Brisbane
11011;Curtis;NULL;Lu;Curtis Lu;M;Male;2020-12-30;East Brisbane
11012;Lauren;M;Walker;Lauren Walker;M;Female;2023-03-16;Bremerton
11013;Ian;M;Jenkins;Ian Jenkins;M;Male;2023-04-13;Lebanon
11014;Sydney;NULL;Bennett;Sydney Bennett;S;Female;2023-03-23;Redmond
11015;Chloe;NULL;Young;Chloe Young;S;Female;2023-01-18;Burbank
11016;Wyatt;L;Hill;Wyatt Hill;M;Male;2023-02-09;Imperial Beach
11017;Shannon;NULL;Wang;Shannon Wang;S;Female;2021-01-12;Sunbury
11018;Clarence;D;Rai;Clarence Rai;S;Male;2021-01-17;Bendigo
11019;Luke;L;Lal;Luke Lal;S;Male;2023-02-12;Langley
11020;Jordan;C;King;Jordan King;S;Male;2022-12-29;Metchosin
11021;Destiny;NULL;Wilson;Destiny Wilson;S;Female;2023-01-23;Beaverton
11022;Ethan;G;Zhang;Ethan Zhang;M;Male;2023-01-20;Bellingham
11023;Seth;M;Edwards;Seth Edwards;M;Male;2023-02-17;Bellflower
11024;Russell;NULL;Xie;Russell Xie;M;Male;2023-06-27;Concord
11025;Alejandro;NULL;Beck;Alejandro Beck;M;Male;2021-01-06;Hawthorne
11026;Harold;NULL;Sai;Harold Sai;S;Male;2021-01-23;Goulburn
11027;Jessie;R;Zhao;Jessie Zhao;M;Male;2021-01-16;Warrnambool
11028;Jill;NULL;Jimenez;Jill Jimenez;M;Female;2021-01-26;St. Leonards
11029;Jimmy;L;Moreno;Jimmy Moreno;M;Male;2021-01-19;Bendigo
11030;Bethany;G;Yuan;Bethany Yuan;M;Female;2021-02-05;Cloverdale
11031;Theresa;G;Ramos;Theresa Ramos;M;Female;2021-02-01;Matraville
11032;Denise;NULL;Stone;Denise Stone;M;Female;2021-02-18;Melbourne
11033;Jaime;NULL;Nath;Jaime Nath;M;Male;2021-02-15;Milsons Point
11034;Ebony;NULL;Gonzalez;Ebony Gonzalez;M;Female;2021-02-01;North Sydney
11035;Wendy;NULL;Dominguez;Wendy Dominguez;M;Female;2021-02-06;Cranbourne
11036;Jennifer;C;Russell;Jennifer Russell;M;Female;2023-01-22;National City
11037;Chloe;M;Garcia;Chloe Garcia;S;Female;2023-01-20;Cliffside
11038;Diana;F;Hernandez;Diana Hernandez;M;Female;2021-02-07;Lavender Bay
11039;Marc;J;Martin;Marc Martin;M;Male;2021-02-07;Wollongong
11040;Jesse;NULL;Murphy;Jesse Murphy;M;Male;2023-04-03;Tacoma
11041;Amanda;M;Carter;Amanda Carter;M;Female;2023-01-14;Glendale
11042;Megan;J;Sanchez;Megan Sanchez;M;Female;2023-01-21;Los Angeles
11043;Nathan;M;Simmons;Nathan Simmons;M;Male;2023-05-08;Glendale
11044;Adam;L;Flores;Adam Flores;M;Male;2021-02-28;Hervey Bay
11045;Leonard;G;Nara;Leonard Nara;S;Male;2023-04-10;Matraville
11046;Christine;NULL;Yuan;Christine Yuan;M;Female;2021-02-06;Lavender Bay
11047;Jaclyn;D;Lu;Jaclyn Lu;M;Female;2021-02-03;Geelong
11048;Jeremy;NULL;Powell;Jeremy Powell;M;Male;2021-02-10;Sunbury
11049;Carol;C;Rai;Carol Rai;S;Female;2023-03-09;Chula Vista
11050;Alan;NULL;Zheng;Alan Zheng;M;Male;2021-02-20;Hobart
11051;Daniel;NULL;Johnson;Daniel Johnson;S;Male;2023-12-29;Caloundra
11052;Heidi;NULL;Lopez;Heidi Lopez;S;Female;2021-02-17;Matraville
11053;Ana;E;Price;Ana Price;M;Female;2023-01-17;San Diego
11054;Deanna;NULL;Munoz;Deanna Munoz;M;Female;2021-02-03;Geelong
11055;Gilbert;NULL;Raje;Gilbert Raje;M;Male;2021-01-31;East Brisbane
11056;Michele;L;Nath;Michele Nath;M;Female;2021-02-26;Newcastle
11057;Carl;J;Andersen;Carl Andersen;M;Male;2021-02-22;Lane Cove
11058;Marc;NULL;Diaz;Marc Diaz;M;Male;2021-03-09;Findon
11059;Ashlee;J;Andersen;Ashlee Andersen;S;Female;2023-02-18;Townsville
11060;Jon;L;Zhou;Jon Zhou;M;Male;2021-03-19;Warrnambool
11061;Todd;M;Gao;Todd Gao;M;Male;2021-03-13;Gold Coast
